# Content: <DELAY_IN_SAMPLES> | <NORMALIZATION_FACTOR> | <PATH_TO_WAV_FILE>
# fields are separated by '|'
# Lines starting with '#' (comments) will be ignored
116620|0.339944|./materials/anvil[-220].wav
55520|-0.145208|./materials/anvil[-64].wav
119100|-0.230188|./materials/anvil[-296].wav
67720|-0.0996186|./materials/anvil[260].wav
119300|0.301819|./materials/anvil[492].wav
119560|0.249111|./materials/anvil[116].wav
118640|-0.276045|./materials/anvil[-12].wav
119640|0.335356|./materials/anvil[124].wav
120980|0.148709|./materials/anvil[-104].wav
121260|-0.15892|./materials/anvil[-160].wav
55300|-0.186142|./materials/anvil[268].wav
119740|-0.181904|./materials/anvil[48].wav
52760|-0.331003|./materials/anvil[124].wav
119940|-0.671129|./materials/anvil[240].wav
59660|-0.319492|./materials/anvil[280].wav
53380|-0.240269|./materials/anvil[336].wav
13340|0.246185|./materials/anvil[-140].wav
121020|0.178359|./materials/anvil[-400].wav
118160|-0.256573|./materials/anvil[32].wav
53560|-0.15943|./materials/anvil[-432].wav
121660|-0.202732|./materials/anvil[84].wav
120880|-0.204319|./materials/anvil[32].wav
14660|-0.469933|./materials/anvil[-168].wav
57880|-0.134167|./materials/anvil[44].wav
46540|0.676006|./materials/anvil[-496].wav
51860|0.545701|./materials/anvil[-80].wav
119940|0.308302|./materials/anvil[-352].wav
52320|-0.204459|./materials/anvil[-24].wav
121100|0.120175|./materials/anvil[460].wav
55960|0.123176|./materials/anvil[-156].wav
117160|-0.221136|./materials/anvil[100].wav
120340|-0.22|./materials/anvil[-392].wav
9860|0.765105|./materials/anvil[-92].wav
59800|0.438728|./materials/anvil[-180].wav
77320|-0.321167|./materials/anvil[-168].wav
9500|-0.244706|./materials/anvil[-44].wav
118520|0.221149|./materials/anvil[476].wav
55560|0.142656|./materials/anvil[-68].wav
56000|0.197591|./materials/anvil[-144].wav
118240|0.128911|./materials/anvil[344].wav
71080|0.371915|./materials/anvil[-212].wav
13740|-0.183706|./materials/anvil[268].wav
56780|0.157595|./materials/anvil[216].wav
76340|0.142016|./materials/anvil[304].wav
118380|-0.158226|./materials/anvil[452].wav
119320|-0.128764|./materials/anvil[-376].wav
118120|0.231644|./materials/anvil[108].wav
69040|-0.183395|./materials/anvil[412].wav
55860|-0.148952|./materials/anvil[40].wav
51640|0.133685|./materials/anvil[-480].wav
53100|-0.189986|./materials/anvil[-72].wav
117240|-0.226398|./materials/anvil[-260].wav
119340|0.238734|./materials/anvil[164].wav
75500|0.124608|./materials/anvil[-12].wav
124020|0.303619|./materials/anvil[0].wav
48860|-0.524873|./materials/anvil[324].wav
117540|-0.124754|./materials/anvil[452].wav
122160|0.124426|./materials/anvil[40].wav
53940|0.175748|./materials/anvil[-292].wav
9020|0.256234|./materials/anvil[-216].wav
121700|0.154411|./materials/anvil[-348].wav
56500|0.121866|./materials/anvil[-476].wav
118380|-0.192323|./materials/anvil[28].wav
60660|-0.221568|./materials/anvil[-320].wav
53860|-0.235444|./materials/anvil[-388].wav
64120|0.565705|./materials/anvil[236].wav
119420|0.142309|./materials/anvil[264].wav
47300|-0.1677|./materials/anvil[-452].wav
52620|-0.281216|./materials/anvil[-236].wav
61240|-0.179089|./materials/anvil[412].wav
49240|0.156296|./materials/anvil[56].wav
51880|-0.14657|./materials/anvil[-236].wav
67420|-0.158054|./materials/anvil[-472].wav
118440|0.190406|./materials/anvil[156].wav
49200|0.146764|./materials/anvil[-8].wav
54100|-0.116251|./materials/anvil[64].wav
119780|0.20585|./materials/anvil[-284].wav
69580|-0.125251|./materials/anvil[212].wav
117280|0.433719|./materials/anvil[236].wav
60200|0.17927|./materials/anvil[372].wav
53280|0.233494|./materials/anvil[-80].wav
52200|0.208337|./materials/anvil[-288].wav
119480|0.147247|./materials/anvil[464].wav
59480|0.148808|./materials/anvil[-228].wav
75000|0.130468|./materials/anvil[-472].wav
61980|0.098779|./materials/anvil[44].wav
118340|0.114435|./materials/anvil[-248].wav
74540|0.15266|./materials/anvil[-432].wav
940|0.263765|./materials/anvil[-220].wav
67960|-0.140377|./materials/anvil[-60].wav
119060|0.19939|./materials/anvil[-56].wav
57520|-0.114722|./materials/anvil[48].wav
123760|-0.125032|./materials/anvil[-296].wav
119380|-0.134036|./materials/anvil[472].wav
48960|-0.13955|./materials/anvil[428].wav
53300|0.116455|./materials/anvil[100].wav
120400|0.114899|./materials/anvil[388].wav
48660|-0.102076|./materials/anvil[-68].wav
46260|0.126508|./materials/anvil[216].wav
74340|-0.100645|./materials/anvil[392].wav
67560|-0.191989|./materials/anvil[284].wav
118840|-0.0992245|./materials/anvil[56].wav
53460|0.0899407|./materials/anvil[-364].wav
120480|-0.0992351|./materials/anvil[112].wav
67900|-0.0972168|./materials/anvil[-476].wav
59980|0.114958|./materials/anvil[444].wav
14360|-0.152678|./materials/anvil[308].wav
58300|-0.128573|./materials/anvil[292].wav
67240|0.137888|./materials/anvil[288].wav
14120|-0.140674|./materials/anvil[-116].wav
55900|-0.112776|./materials/anvil[120].wav
119700|0.101866|./materials/anvil[-160].wav
50060|-0.129254|./materials/anvil[-8].wav
59600|-0.138878|./materials/anvil[264].wav
53120|-0.130337|./materials/anvil[480].wav
