# Content: <DELAY_IN_SAMPLES> | <NORMALIZATION_FACTOR> | <PATH_TO_WAV_FILE>
# fields are separated by '|'
# Lines starting with '#' (comments) will be ignored
124020|0.355739|anvil.wav
69740|0.251153|anvil.wav
70800|-0.265436|anvil.wav
70960|-0.230468|anvil.wav
71080|0.201511|anvil.wav
124140|-0.186402|anvil.wav
124480|-0.250838|anvil.wav
124600|0.179547|anvil.wav
123780|-0.181038|anvil.wav
70860|0.1754|anvil.wav
123280|0.169108|anvil.wav
70520|0.163885|anvil.wav
71240|0.168712|anvil.wav
71180|-0.179676|anvil.wav
70680|0.154189|anvil.wav
121580|0.151843|anvil.wav
121180|0.166091|anvil.wav
70340|0.144301|anvil.wav
69380|0.144731|anvil.wav
121680|-0.139538|anvil.wav
121560|0.147456|anvil.wav
120880|-0.136094|anvil.wav
53680|-0.12086|anvil.wav
54080|-0.144223|anvil.wav
123400|-0.116485|anvil.wav
124300|-0.164516|anvil.wav
124140|-0.124804|anvil.wav
124660|-0.122157|anvil.wav
70380|-0.116292|anvil.wav
70320|0.129811|anvil.wav
70440|-0.11626|anvil.wav
71900|-0.128738|anvil.wav
75100|-0.126033|anvil.wav
74980|0.13166|anvil.wav
72400|0.124854|anvil.wav
72560|0.115316|anvil.wav
74920|-0.11481|anvil.wav
124680|-0.11356|anvil.wav
124520|-0.129197|anvil.wav
75080|-0.11144|anvil.wav
75680|-0.123574|anvil.wav
122160|0.107366|anvil.wav
121200|0.132083|anvil.wav
121700|-0.116184|anvil.wav
54140|0.106194|anvil.wav
56620|-0.119406|anvil.wav
57120|0.120343|anvil.wav
57560|-0.114727|anvil.wav
70020|-0.102703|anvil.wav
69960|0.117546|anvil.wav
71700|-0.104526|anvil.wav
71920|-0.121367|anvil.wav
122380|0.0998785|anvil.wav
124860|-0.116974|anvil.wav
125260|-0.118819|anvil.wav
125140|0.100279|anvil.wav
124800|0.10242|anvil.wav
72080|-0.0996654|anvil.wav
75560|0.112233|anvil.wav
7880|-0.0940385|anvil.wav
8940|0.113959|anvil.wav
8820|-0.11532|anvil.wav
7580|0.10688|anvil.wav
75780|0.0926112|anvil.wav
72020|0.106094|anvil.wav
70400|-0.100715|anvil.wav
81960|0.0958088|anvil.wav
81740|0.133048|anvil.wav
81760|0.106566|anvil.wav
81540|0.113567|anvil.wav
61360|0.0906037|anvil.wav
61520|0.114697|anvil.wav
62080|-0.105241|anvil.wav
62140|0.101107|anvil.wav
62300|0.0961101|anvil.wav
62240|-0.0954468|anvil.wav
53700|-0.0917374|anvil.wav
53860|-0.114258|anvil.wav
53620|0.110861|anvil.wav
54060|-0.101081|anvil.wav
53720|-0.100279|anvil.wav
53220|0.0950323|anvil.wav
80520|0.0879475|anvil.wav
121880|-0.0861971|anvil.wav
122280|-0.0984301|anvil.wav
123080|0.10618|anvil.wav
125240|-0.0942366|anvil.wav
125080|-0.0890613|anvil.wav
7900|-0.0848163|anvil.wav
8620|-0.0989964|anvil.wav
11400|-0.08481|anvil.wav
11000|-0.120949|anvil.wav
62080|-0.0842707|anvil.wav
62540|-0.0844433|anvil.wav
63900|0.087501|anvil.wav
80920|0.0838612|anvil.wav
81140|0.0866714|anvil.wav
70160|0.0811456|anvil.wav
70600|-0.111553|anvil.wav
72600|0.091676|anvil.wav
124390|0.254973|anvil.wav
57330|0.0589211|anvil[-160].wav
123120|0.114749|anvil.wav
56750|-0.0818991|anvil[-160].wav
57350|0.0532101|anvil[-160].wav
58350|0.0548871|anvil[-160].wav
8630|-0.109626|anvil.wav
58900|0.054047|anvil[-160].wav
122440|-0.108027|anvil.wav
69680|-0.104759|anvil.wav
58910|0.0507442|anvil[-160].wav
58050|-0.0517311|anvil[-160].wav
57300|0.0496537|anvil[-160].wav
55830|0.0525526|anvil[-160].wav
75200|-0.0429515|anvil[-160].wav
47460|-0.0419527|anvil[-160].wav
124690|-0.100391|anvil.wav
122180|0.0999646|anvil.wav
48760|-0.0453431|anvil[-160].wav
48580|-0.0426905|anvil[-160].wav
49420|0.0475128|anvil[-160].wav
77950|0.0415717|anvil[-160].wav
54150|0.0968054|anvil.wav
77960|0.0438248|anvil[-160].wav
67840|0.0388578|anvil[-160].wav
67410|-0.0590467|anvil[-160].wav
56350|0.106561|anvil.wav
69210|0.0911281|anvil.wav
67400|-0.0530886|anvil[-160].wav
69580|0.0891587|anvil.wav
67850|0.0479289|anvil[-160].wav
72090|-0.092817|anvil.wav
67730|0.0489557|anvil[-160].wav
72000|0.104362|anvil.wav
71910|-0.101152|anvil.wav
67000|-0.041624|anvil[-160].wav
48220|-0.039734|anvil[-160].wav
48400|-0.049697|anvil[-160].wav
72100|-0.0904025|anvil.wav
48560|-0.0540155|anvil[-160].wav
74810|0.0913817|anvil.wav
48250|-0.0497947|anvil[-160].wav
48220|-0.0440292|anvil[-160].wav
47770|0.0390336|anvil[-160].wav
73420|0.0384073|anvil[-160].wav
75770|0.103897|anvil.wav
55910|0.0381344|anvil[-160].wav
55880|0.0489826|anvil[-160].wav
58590|-0.038815|anvil[-160].wav
58580|-0.0442507|anvil[-160].wav
57540|-0.0389241|anvil[-160].wav
75760|0.0973756|anvil.wav
56780|-0.0486817|anvil[-160].wav
11980|-0.087716|anvil.wav
57200|-0.0399645|anvil[-160].wav
76410|-0.0373333|anvil[-160].wav
77010|0.0437848|anvil[-160].wav
77020|0.046544|anvil[-160].wav
11890|0.0905864|anvil.wav
8640|-0.0945427|anvil.wav
9210|-0.101843|anvil.wav
57880|-0.0362493|anvil[-160].wav
57260|0.0458553|anvil[-160].wav
8840|-0.0864214|anvil.wav
10910|0.0883113|anvil.wav
59690|-0.0371533|anvil[-160].wav
58980|0.0403395|anvil[-160].wav
58100|-0.0441488|anvil[-160].wav
11490|0.0981444|anvil.wav
58270|0.0396943|anvil[-160].wav
58590|-0.0456144|anvil[-160].wav
11580|-0.083987|anvil.wav
77030|0.0353208|anvil[-160].wav
5990|-0.0348875|anvil[-160].wav
6850|0.0408084|anvil[-160].wav
6840|0.0389056|anvil[-160].wav
70330|0.0831916|anvil.wav
5980|-0.0394719|anvil[-160].wav
5970|-0.0359993|anvil[-160].wav
6830|0.0363125|anvil[-160].wav
67860|0.0342965|anvil[-160].wav
75850|-0.0882399|anvil.wav
67720|0.0458995|anvil[-160].wav
78810|-0.0872223|anvil.wav
67840|0.0372197|anvil[-160].wav
67390|-0.0395201|anvil[-160].wav
122270|-0.0777637|anvil.wav
67400|-0.0396982|anvil[-160].wav
123200|-0.0805634|anvil.wav
67850|0.0436734|anvil[-160].wav
67840|0.0375566|anvil[-160].wav
67370|-0.0348162|anvil[-160].wav
79000|-0.0773154|anvil.wav
58930|0.0342121|anvil[-160].wav
58940|0.042317|anvil[-160].wav
58660|-0.035691|anvil[-160].wav
58270|0.0389333|anvil[-160].wav
56260|0.0389865|anvil[-160].wav
77180|-0.0336176|anvil[-160].wav
48090|-0.033557|anvil[-160].wav
48400|-0.0410042|anvil[-160].wav
49140|-0.0384663|anvil[-160].wav
79810|-0.087219|anvil.wav
56430|-0.0343633|anvil[-160].wav
56740|-0.0413797|anvil[-160].wav
56450|-0.0335863|anvil[-160].wav
57880|-0.0354597|anvil[-160].wav
57870|-0.0348648|anvil[-160].wav
58280|0.0366508|anvil[-160].wav
68000|-0.0757936|anvil.wav
58270|0.0353707|anvil[-160].wav
68090|0.0805297|anvil.wav
57540|-0.033647|anvil[-160].wav
55910|0.0329961|anvil[-160].wav
53300|0.0366802|anvil[-160].wav
53460|0.0388751|anvil[-160].wav
70040|-0.0831213|anvil.wav
53590|-0.0349903|anvil[-160].wav
53140|0.0340839|anvil[-160].wav
118620|0.0326947|anvil[-160].wav
118640|-0.0422399|anvil[-160].wav
118480|-0.0332281|anvil[-160].wav
71530|-0.0879433|anvil.wav
71720|-0.0812943|anvil.wav
117730|0.0363305|anvil[-160].wav
54590|-0.0733733|anvil.wav
117750|-0.0353753|anvil[-160].wav
117630|-0.0383396|anvil[-160].wav
117650|0.0336104|anvil[-160].wav
119670|-0.0381276|anvil[-160].wav
119650|0.0458637|anvil[-160].wav
54680|0.0960279|anvil.wav
119500|-0.0393414|anvil[-160].wav
54770|-0.0792014|anvil.wav
119510|-0.0342508|anvil[-160].wav
119670|-0.0364946|anvil[-160].wav
53870|-0.0774973|anvil.wav
53780|0.0849442|anvil.wav
120420|0.0357454|anvil[-160].wav
53690|-0.0808153|anvil.wav
53880|-0.0736134|anvil.wav
120310|-0.0326821|anvil[-160].wav
118600|-0.0340794|anvil[-160].wav
118620|0.0371959|anvil[-160].wav
54780|-0.0760381|anvil.wav
54970|-0.0761414|anvil.wav
125220|-0.072002|anvil.wav
78790|-0.0711582|anvil.wav
118500|0.0357027|anvil[-160].wav
119690|0.0340574|anvil[-160].wav
120530|-0.0334478|anvil[-160].wav
66910|-0.0317419|anvil[-160].wav
120350|-0.0311757|anvil[-160].wav
79010|-0.0827537|anvil.wav
75660|-0.0754934|anvil.wav
120890|0.0315686|anvil[-160].wav
119710|-0.032044|anvil[-160].wav
119720|-0.0367573|anvil[-160].wav
16870|0.0697929|anvil.wav
119880|-0.0336574|anvil[-160].wav
108390|0.0308146|anvil[-160].wav
17270|0.0911186|anvil.wav
108850|0.0354405|anvil[-160].wav
7370|-0.0305519|anvil[-160].wav
